vintage_name,vintage_rank,toplists_name,vintages.price_euros
Antinori Tenuta Tignanello 'Solaia' 1997,3,Vivino's 2017 Wine Style Awards: Central Italy Red,1473.75
Krug Vintage 1996,3,Vivino's 2017 Wine Style Awards: French Champagne,1473.75
Vilafonté Series M 2012,3,Vivino's 2017 Wine Style Awards: South African Bordeaux Blend,58.0
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,3,Vivino's 2018 Wine Style Awards: French Champagne,2882.5
Il Marroneto Madonna delle Grazie Brunello di Montalcino 2010,3,Vivino's 2018 Wine Style Awards: Italian Brunello,1046.25
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2007,3,Vivino's 2018 Wine Style Awards: Italian Valpolicella Red,243.75
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,3,Vivino's 2019 Wine Style Awards: French Champagne Vintage,2882.5
Château Rayas Châteauneuf-du-Pape 2006,3,Vivino's 2019 Wine Style Awards: Southern Rhône Châteauneuf-du-Pape Red,3308.75
Château La Fleur-Pétrus Pomerol 2010,3,Vivino's 2020 Wine Style Awards: Bordeaux Pomerol,576.25
Borgogno Barolo Riserva 1982,3,Vivino's 2020 Wine Style Awards: Italian Barolo,470.0
Quintarelli Giuseppe Veneto Alzero Cabernet 2007,3,Vivino's 2020 Wine Style Awards: Northern Italy Red,683.75
Dominio de Pingus Pingus 2015,3,Vivino's 2020 Wine Style Awards: Spanish Ribera Del Duero Red,2028.75
Tommasi Amarone della Valpolicella Classico 2018,4,Bestsellers in British Columbia,49.8
Château Latour Grand Vin Pauillac (Premier Grand Cru Classé) 1999,4,Vivino's 2016 Wine Style Awards: Bordeaux Médoc,1323.75
Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,4,Vivino's 2016 Wine Style Awards: Italian Brunello,420.0
La Spinetta Vürsù Barolo Campè 2004,4,Vivino's 2016 Wine Style Awards: Northern Italy Red,232.5
Château La Fleur-Pétrus Pomerol 1998,4,Vivino's 2017 Wine Style Awards: Bordeaux Pomerol,683.75
Mascarello Giuseppe e Figlio Barolo Monprivato 2010,4,Vivino's 2017 Wine Style Awards: Italian Barolo,705.0
Ornellaia Bolgheri Superiore 2010,4,Vivino's 2017 Wine Style Awards: Italian Bolgheri,597.5
Château Suduiraut Sauternes (Premier Grand Cru Classé) 2007,4,Vivino's 2018 Wine Style Awards: Bordeaux Sauternes,49.9
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2003,4,Vivino's 2018 Wine Style Awards: Italian Amarone,683.75
Borgogno Barolo Riserva 1982,4,Vivino's 2018 Wine Style Awards: Italian Barolo,470.0
Château La Fleur-Pétrus Pomerol 2010,4,Vivino's 2019 Wine Style Awards: Bordeaux Pomerol,576.25
Quintarelli Giuseppe Veneto Alzero Cabernet 2007,4,Vivino's 2019 Wine Style Awards: Northern Italy Red,683.75
Château des Tours Vacqueyras 2011,4,Vivino's 2019 Wine Style Awards: Southern Rhône Red,250.0
Roagna Pajè Barbaresco 2013,4,Vivino's 2020 Wine Style Awards: Italian Barbaresco,331.25
Alión Ribera del Duero 2019,5,Bestsellers in Asturias (Oviedo),81.64
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,5,Bestsellers in Germany,63.95
Tenuta Ulisse Limited Edition 10 Vendemmie,5,Bestsellers in Italy,34.2
Catena Zapata Malbec Argentino 2020,5,Bestsellers in New Brunswick,89.95
Domaine des Lambrays Clos des Lambrays Grand Cru 2009,5,Vivino's 2017 Wine Style Awards: Burgundy Red,896.25
Krug Rosé,5,Vivino's 2019 Wine Style Awards: French Champagne N.V.,349.0
Pago de Carraovejas Tinto 2020,6,Bestsellers in Burgos,42.95
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2017,6,Bestsellers in Japan,63.95
Laurent-Perrier Brut Cuvée Champagne Rosé,6,Bestsellers in Setúbal,72.0
Vilafonté Series M 2012,6,Vivino's 2018 Wine Style Awards: South African Bordeaux Blend,58.0
